baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_0517100	46.568013145447	-1.48029744671361	0.462916700083733	-3.19776203028721	0.00138498520295183	0.00785343669389163
PF3D7_1341600	79.7287365842235	-1.47912064211036	0.415561989039855	-3.55932612010022	0.000371807603855173	0.00261171678716298
PF3D7_1117500	77.1498758530526	-1.47684411405396	0.395417906881846	-3.7348943696049	0.000187793993665208	0.00143838165131092
PF3D7_0213000	137.370829025247	-1.47588561735495	0.351426503314507	-4.19969923564391	2.67269763825089e-05	0.000267387503809153
PF3D7_0416600	58.3070647154367	-1.47418876130143	0.443758030551292	-3.32205539913275	0.000893569505507688	0.0054883004972755
PF3D7_1142500	649.721709963013	-1.46324221091198	0.215016238509313	-6.8052637375507	1.00864283339268e-11	3.88242012649963e-10
PF3D7_0623200	150.148963190678	-1.45885888338696	0.30099129647964	-4.84684740206647	1.25438837313802e-06	1.68563076650677e-05
PF3D7_1012400	15272.6001532886	-1.45723766871586	0.221184635359693	-6.5883313564981	4.44797090576893e-11	1.50766297417929e-09
PF3D7_1216700	117.67065961908	-1.45259004527779	0.33804539841295	-4.29702652986074	1.73104484312424e-05	0.000179098079213446
PF3D7_0203800	56.1279832027099	-1.45199694042975	0.437102747474569	-3.32186642344139	0.000894174893875797	0.0054883004972755
PF3D7_0614500	1913.11110210779	-1.41672513718764	0.189531544747654	-7.47487780503188	7.72756259643141e-14	4.22874570036042e-12
PF3D7_1454100	84.6811098050492	-1.41209040474189	0.388944011016523	-3.6305750050022	0.000282790507865806	0.00207557545932242
PF3D7_1355700	317.563026176157	-1.41069493801727	0.247534322775607	-5.69898720387186	1.20521270423741e-08	2.44378397439568e-07
PF3D7_1223300	108.627031645678	-1.40583926595568	0.332144583065539	-4.23261235507876	2.30992450480479e-05	0.000234189221000521
PF3D7_0625700	66.5839309892713	-1.40411126553334	0.420737352063634	-3.33726316108244	0.000846077964345253	0.00524268228384193
PF3D7_1147900	160.609257208431	-1.40167769305159	0.307081343844257	-4.56451595367019	5.00648130068234e-06	5.86067991435546e-05
PF3D7_0420400	103.495003524996	-1.39714015512922	0.350917279741618	-3.98139457868232	6.85121066988974e-05	0.000603065869430992
PF3D7_1036600	58.7403651486191	-1.38027167642549	0.424101737159127	-3.25457680430956	0.00113561448869596	0.00662125931663292
PF3D7_1465900	1789.0152018152	-1.37974270732933	0.185645104029645	-7.43215241005766	1.0684458639115e-13	5.70927189868944e-12
PF3D7_1409200	90.2529341194564	-1.37353461301148	0.361383851006671	-3.80076367326697	0.000144250830140497	0.00114543229108066
PF3D7_0826700	3320.22262635296	-1.36452617798075	0.179280120897931	-7.61114043847399	2.71687815023987e-14	1.50488543394994e-12
PF3D7_0521400	84.3043871840179	-1.36221045203945	0.36844063968825	-3.69723180697998	0.000217963296380578	0.00164450048531659
PF3D7_1122100	64.4564311846696	-1.36127186872862	0.427278884002004	-3.18590953051225	0.00144299713287152	0.00809506559811511
PF3D7_1015000	57.1532791037227	-1.35881828977819	0.429013119516812	-3.16731173934401	0.0015385529157024	0.00849101742784972
PF3D7_0932300	385.39396842029	-1.35807729064555	0.227808645885209	-5.96148265298882	2.49959456923386e-09	5.85214357394856e-08
PF3D7_0519400	1695.51898697632	-1.35516247532401	0.207546572931682	-6.52943797713338	6.60169419930275e-11	2.17281848211834e-09
PF3D7_0511200	250.886454119877	-1.35447130819184	0.260798705175353	-5.19355073975976	2.06320677000825e-07	3.3588118814973e-06
PF3D7_0306000	99.7625991268664	-1.35016803352479	0.344332669128289	-3.921115115051	8.81401417592083e-05	0.000746889037071501
PF3D7_0813900	1643.99114762991	-1.34943722382513	0.197572311369075	-6.83009281247064	8.48597129029372e-12	3.38098961408018e-10
PF3D7_0508300	327.6772546517	-1.34622831606107	0.255872593052642	-5.26132283258684	1.43022659807914e-07	2.4239138837595e-06
PF3D7_0716900	326.66011291703	-1.34498932405452	0.258524668227226	-5.20255700656141	1.96565035290404e-07	3.21150500103962e-06
PF3D7_0903900	1320.8381184184	-1.34358622830524	0.197040152006298	-6.81884486296119	9.17754405899301e-12	3.56276966802959e-10
PF3D7_0828600	98.5486747742991	-1.33756543016692	0.340626718751187	-3.9267777791206	8.60914533919823e-05	0.000734653694601917
PF3D7_0706400	707.362680275957	-1.33362249122084	0.229986616076934	-5.79869608923121	6.6832523866167e-09	1.4118759227913e-07
PF3D7_0217000	93.1374890036179	-1.32882280063954	0.397370719571569	-3.3440380359988	0.000825684161961798	0.00515145255993199
PF3D7_1209500	73.5942890879909	-1.32551424461816	0.387289065230601	-3.42254497639617	0.000620378333692231	0.00403782008588013
PF3D7_0830400	464.957106533778	-1.32493300086891	0.219768456585829	-6.02876782888755	1.65214426405954e-09	4.07828219965132e-08
PF3D7_1124900	538.720230569555	-1.3248411383329	0.217676231275079	-6.0862921531322	1.15555499956967e-09	2.96527164296352e-08
PF3D7_1015900	12667.6181795582	-1.32483944398175	0.249743512000243	-5.30480024634419	1.12796444360523e-07	1.93328849164338e-06
PF3D7_0516100	71.6028526266754	-1.31784954325492	0.39275465995782	-3.35540141877999	0.00079249896379918	0.00496486937044949
PF3D7_0317600	1369.54738160385	-1.31210722695542	0.194145719499015	-6.75836289536157	1.39559624191846e-11	5.03079216729653e-10
PF3D7_1424400	2877.76949061524	-1.30990416681846	0.189695698068126	-6.90529189727874	5.01003028208364e-12	2.06868704920217e-10
PF3D7_1025700	152.365386022107	-1.30346465226785	0.307032263363817	-4.24536704379929	2.18235884093465e-05	0.000222444203054209
PF3D7_0924500	121.168538619797	-1.30202419065856	0.331288676544787	-3.93018018073594	8.48822293335624e-05	0.00072879978380537
PF3D7_0627500	1037.24639727805	-1.29509616455847	0.203682344658731	-6.35841150949237	2.03850762250406e-10	6.05156968719831e-09
PF3D7_0109850	114.295959081272	-1.28804350115518	0.365436091681074	-3.52467512234476	0.00042400245039438	0.00290042064767233
PF3D7_0512700	251.825376422255	-1.28628815932794	0.259975450451084	-4.94772932250371	7.50842203204671e-07	1.06906748807386e-05
PF3D7_0404400	161.176101188256	-1.28147562786846	0.383750517436188	-3.33934566767469	0.000839759982439276	0.00521776995928754
PF3D7_1408400	115.615432826461	-1.28140784328583	0.335708640913401	-3.8170237137756	0.000135071192471077	0.00108582894903297
PF3D7_1460700	1254.32885342609	-1.27427897659542	0.221145262489601	-5.76218075960518	8.30339990390785e-09	1.72210239102966e-07
PF3D7_0216800	96.4248651417421	-1.26668612196051	0.378356407945606	-3.3478648580008	0.000814367124854583	0.00509484226045388
PF3D7_0725200	279.275079273842	-1.26642817459375	0.281209809619427	-4.50349927802185	6.68435950261697e-06	7.62823137208198e-05
